state_ut,year,min_pm25,max_pm25,avg_pm25
Chandigarh,2022,49.24877979170632,49.24877979170632,49.24877979170632
Chhattisgarh,1998,14.251350272657106,45.53217153377711,29.024184586516085
Chhattisgarh,1999,16.624671900845225,40.82927213830568,28.755958300052452
Chhattisgarh,2000,13.718562265972912,53.21898854500469,28.624355491005193
Chhattisgarh,2001,21.35855009300941,56.974088869393874,38.096236468948966
Chhattisgarh,2002,20.216046449887788,47.51453469907512,32.202809679244524
Chhattisgarh,2003,21.402251799701546,57.69769731414229,36.44679833148824
Chhattisgarh,2004,23.613814739959313,94.17476307496236,44.79945731470391
Chhattisgarh,2005,24.964506444706696,53.61719093041755,38.634869768403476
Chhattisgarh,2006,23.430107859434283,60.78603778094497,39.52090291591703
Chhattisgarh,2007,24.90127114010011,82.47050095278826,44.684058049616915
Chhattisgarh,2008,31.51758894038911,89.57478605949993,51.39757224091517
Chhattisgarh,2009,30.02555561413113,88.48092346561194,46.270650770837605
Chhattisgarh,2010,26.618833746658435,106.5684608402708,46.23682054124564
Chhattisgarh,2011,31.438394637087644,101.51167916108504,51.85657730398842
Chhattisgarh,2012,25.48316598076398,85.23423780302451,49.04646983209524
Chhattisgarh,2013,23.646506552830473,90.29186173438352,49.04971935186226
Chhattisgarh,2014,28.900043777712852,92.91544767753388,55.292061847763826
Chhattisgarh,2015,29.159039793586505,78.1227253123699,50.86492923351451
Chhattisgarh,2016,31.11355402816821,72.28585139511418,52.67713006364743
Chhattisgarh,2017,31.4130402947069,79.19574195072708,50.88654322400074
Chhattisgarh,2018,32.862341476525515,83.0209644963975,52.486603499572446
Chhattisgarh,2019,29.4943256407314,87.03218804722806,53.33037900255008
Chhattisgarh,2020,35.817154163555394,80.06290912361094,54.477319701694455
Chhattisgarh,2021,32.86855069977381,86.63446740518185,56.50860174947244
Chhattisgarh,2022,29.43980964060629,85.17718602671735,52.96619677595715
D&N Haveli,1998,17.138802645046095,17.138802645046095,17.138802645046095
D&N Haveli,1999,17.66596792292099,17.66596792292099,17.66596792292099
D&N Haveli,2000,20.823122340624707,20.823122340624707,20.823122340624707
D&N Haveli,2001,22.02500760482083,22.02500760482083,22.02500760482083
D&N Haveli,2002,21.97359257026964,21.97359257026964,21.97359257026964
D&N Haveli,2003,25.233628260654815,25.233628260654815,25.233628260654815
D&N Haveli,2004,27.814025868230335,27.814025868230335,27.814025868230335
D&N Haveli,2005,27.92518276250509,27.92518276250509,27.92518276250509
D&N Haveli,2006,27.982088724481898,27.982088724481898,27.982088724481898
D&N Haveli,2007,28.324172228426573,28.324172228426573,28.324172228426573
D&N Haveli,2008,31.35454963592816,31.35454963592816,31.35454963592816
D&N Haveli,2009,28.59250429495001,28.59250429495001,28.59250429495001
D&N Haveli,2010,30.79744970523496,30.79744970523496,30.79744970523496
D&N Haveli,2011,31.75516702991819,31.75516702991819,31.75516702991819
D&N Haveli,2012,33.249267902007105,33.249267902007105,33.249267902007105
D&N Haveli,2013,31.620974876161817,31.620974876161817,31.620974876161817
D&N Haveli,2014,31.329954391002357,31.329954391002357,31.329954391002357
D&N Haveli,2015,34.19546861336441,34.19546861336441,34.19546861336441
D&N Haveli,2016,32.27176903159411,32.27176903159411,32.27176903159411
D&N Haveli,2017,36.564563114729,36.564563114729,36.564563114729
D&N Haveli,2018,37.213876434981984,37.213876434981984,37.213876434981984
D&N Haveli,2019,36.57240234886614,36.57240234886614,36.57240234886614
D&N Haveli,2020,39.16885490240026,39.16885490240026,39.16885490240026
D&N Haveli,2021,36.65951970596984,36.65951970596984,36.65951970596984
D&N Haveli,2022,37.81058104893995,37.81058104893995,37.81058104893995
Daman and Diu,1998,18.888482501303617,23.35486290182347,19.867822133724975
Daman and Diu,1999,17.925812486129665,22.34495389969826,18.894794063936725
Daman and Diu,2000,21.83734068844797,23.994251066407536,22.3102846894719
Daman and Diu,2001,22.776128261161222,24.967697336907396,23.256671846928672
Daman and Diu,2002,22.615561256781685,26.630464651828575,23.495905889911192
Daman and Diu,2003,26.56291104762027,28.46290055160033,26.979520215575533
Daman and Diu,2004,28.81496880218091,29.00019756974868,28.959582607099605
Daman and Diu,2005,27.12728872434972,27.175055981209255,27.164582093277733
Daman and Diu,2006,28.13732045674811,28.357819551358293,28.30947089251149
Daman and Diu,2007,29.418780195218527,30.24399224963052,29.59972377761994
Daman and Diu,2008,28.376502973873276,32.02831273905164,31.22758335364456
Daman and Diu,2009,26.680128358604495,29.391533195629545,28.79700564125273
Daman and Diu,2010,29.370918120500363,32.7018464097373,31.97147644706607
Daman and Diu,2011,30.699936570977247,32.44747780093459,32.0642958432159
Daman and Diu,2012,30.332736994215715,34.34062090668503,33.4618154298456
Daman and Diu,2013,28.72760276215654,34.02487261543655,32.86334452205155
Daman and Diu,2014,29.445307531495196,34.51974362874948,33.40707611353913
Daman and Diu,2015,31.09563147168767,37.37236378115755,35.99606974403344
Daman and Diu,2016,26.747210648648984,35.48960570245179,33.57266778165199
Daman and Diu,2017,30.839609323545968,41.405539133628864,39.088756215812005
Daman and Diu,2018,36.439314218929745,41.61291832264599,40.4785063185459
Daman and Diu,2019,32.872335074452714,40.98182052210914,39.20366018079343
Daman and Diu,2020,32.78736095707776,41.29946130171654,39.43301991627567
Daman and Diu,2021,33.841222901412394,40.4034560136931,38.96456044552873
Daman and Diu,2022,34.52894847071692,44.30179702291841,42.15891239363144
Goa,1998,15.61059041481527,18.11332772211632,17.26151670094739
Goa,1999,16.066179112851604,18.181144745454013,17.38589482127167
Goa,2000,18.253736586495258,20.939622844467863,20.069698706614297
Goa,2001,19.3618955916451,20.71989125258964,20.07403217411876
Goa,2002,20.771599257238787,22.902863823095373,21.39170081278123
Goa,2003,21.49529016691797,24.946975517565615,22.49821542761253
Goa,2004,19.96833255029589,23.03934228933072,21.496304859870023
Goa,2005,22.651797736829167,24.178500918823143,23.099140116941847
Goa,2006,21.42374234875407,24.13844551091162,22.764307202268895
Goa,2007,24.16575494580683,25.628550578112,24.72563989812877
Goa,2008,23.52381992119601,26.957901669942977,25.413563597965275
Goa,2009,26.384816789747937,28.662067252686217,27.865685205130106
Goa,2010,24.468591146577683,27.707373921806997,25.937645165899376
Goa,2011,25.04907571507653,28.484805598586973,26.077576828682503
Goa,2012,27.02396452691824,29.352050781586236,28.505086382806248
Goa,2013,23.244137884436043,27.358784267303164,25.88402945398802
Goa,2014,28.23942277072539,31.799389663685098,30.128325523143694
Goa,2015,26.855931254542178,31.30119022644301,29.443114434733165
